number,u_week
LEAD00609571,1
LEAD00609570,1
LEAD00609569,1
LEAD00609568,1
LEAD00609567,1
LEAD00609566,1
LEAD00609565,1
LEAD00609564,1
LEAD00609563,1
LEAD00609562,1
LEAD00609561,1
LEAD00609560,1
LEAD00609559,1
LEAD00571972,1
LEAD00609558,1
LEAD00609557,1
LEAD00609556,1
LEAD00609555,1
LEAD00572136,1
LEAD00609554,1
LEAD00609553,1
LEAD00609552,1
LEAD00609551,1
LEAD00609550,1
LEAD00572087,1
LEAD00609549,1
LEAD00572314,1
LEAD00609548,1
LEAD00609547,1
LEAD00609546,1
LEAD00609545,1
LEAD00609544,1
LEAD00609543,1
LEAD00557415,2
LEAD00574410,2
LEAD00609542,1
LEAD00571946,1
LEAD00609541,1
LEAD00609540,1
LEAD00609539,1
LEAD00574377,2
LEAD00609538,1
LEAD00571731,1
LEAD00570705,1
LEAD00609537,1
LEAD00609536,1
LEAD00609535,1
LEAD00609534,1
LEAD00609533,1
LEAD00609532,1
LEAD00609528,1
LEAD00609527,1
LEAD00609526,1
LEAD00609525,1
LEAD00609523,1
LEAD00609522,1
LEAD00609521,1
LEAD00609520,1
LEAD00609519,1
LEAD00609518,1
LEAD00609516,1
LEAD00609517,1
LEAD00609515,1
LEAD00609514,1
LEAD00609513,1
LEAD00609512,1
LEAD00609511,1
LEAD00609510,1
LEAD00609509,1
LEAD00609508,1
LEAD00609507,1
LEAD00609506,1
LEAD00609505,1
LEAD00609503,1
LEAD00609504,1
LEAD00609497,1
LEAD00609500,1
LEAD00609499,1
LEAD00609498,1
LEAD00609494,1
LEAD00609493,1
LEAD00609491,1
LEAD00609490,1
LEAD00609488,1
LEAD00609486,1
LEAD00609487,1
LEAD00609485,1
LEAD00609484,1
LEAD00609483,1
LEAD00609482,1
LEAD00609481,1
LEAD00609480,1
LEAD00609479,1
LEAD00609478,1
LEAD00609477,1
LEAD00609476,1
LEAD00609475,1
LEAD00609474,1
LEAD00609473,1
LEAD00609472,1
LEAD00609471,1
LEAD00609470,1
LEAD00609468,1
LEAD00609467,1
LEAD00609466,1
LEAD00609465,1
LEAD00609464,1
LEAD00609463,1
LEAD00580607,4
LEAD00609462,1
LEAD00545899,2
LEAD00609461,1
LEAD00580613,4
LEAD00609460,1
LEAD00609459,1
LEAD00609458,1
LEAD00543951,1
LEAD00577417,3
LEAD00609457,1
LEAD00609456,1
LEAD00609455,1
LEAD00609454,1
LEAD00609453,1
LEAD00545952,2
LEAD00609452,1
LEAD00609450,1
LEAD00609443,1
LEAD00609441,1
LEAD00609436,1
LEAD00609433,1
LEAD00386791,1
LEAD00609432,1
LEAD00386756,1
LEAD00609431,1
LEAD00386746,1
LEAD00609429,1
LEAD00609428,1
LEAD00386671,1
LEAD00386657,1
LEAD00609427,1
LEAD00609425,1
LEAD00609426,1
LEAD00609424,1
LEAD00609423,1
LEAD00609420,1
LEAD00609419,1
LEAD00609417,1
LEAD00609416,1
LEAD00609415,1
LEAD00609414,1
LEAD00609413,1
LEAD00609412,1
LEAD00609411,1
LEAD00609410,1
LEAD00609409,1
LEAD00609408,1
LEAD00609407,1
LEAD00609406,1
LEAD00609405,1
LEAD00386652,1
LEAD00609401,1
LEAD00609402,1
LEAD00609398,1
LEAD00386611,1
LEAD00609397,1
LEAD00386594,1
LEAD00386591,1
LEAD00609394,1
LEAD00609391,1
LEAD00609390,1
LEAD00609389,1
LEAD00609388,1
LEAD00609385,1
LEAD00609382,1
LEAD00609379,1
LEAD00609376,1
LEAD00609375,1
LEAD00609374,1
LEAD00609373,1
LEAD00609372,1
LEAD00609371,1
LEAD00609370,1
LEAD00609369,1
LEAD00609368,1
LEAD00609367,1
LEAD00609366,1
LEAD00609365,1
LEAD00609364,1
LEAD00609359,1
LEAD00386528,1
LEAD00609356,1
LEAD00609355,1
LEAD00609354,1
LEAD00609353,1
LEAD00609352,1
LEAD00609351,1
LEAD00609350,1
LEAD00609349,1
LEAD00609348,1
LEAD00609347,1
LEAD00609346,1
LEAD00609345,1
LEAD00609344,1
LEAD00609340,1
LEAD00609341,1
LEAD00609337,1
LEAD00609336,1
LEAD00609335,1
LEAD00609334,1
LEAD00609333,1
LEAD00609332,1
LEAD00609331,1
LEAD00609330,1
LEAD00386506,1
LEAD00513972,1
LEAD00609329,1
LEAD00517101,1
LEAD00609328,1
LEAD00386440,1
LEAD00386438,1
LEAD00386421,1
LEAD00386395,1
LEAD00609327,1
LEAD00609326,1
LEAD00609325,1
LEAD00386365,1
LEAD00609324,1
LEAD00609323,1
LEAD00609322,1
LEAD00609321,1
LEAD00609320,1
LEAD00609319,1
LEAD00609318,1
LEAD00609317,1
LEAD00602589,1
LEAD00609316,1
LEAD00609315,1
LEAD00609314,1
LEAD00609313,1
LEAD00609312,1
LEAD00603689,2
LEAD00608460,1
LEAD00608439,1
LEAD00609311,1
LEAD00609310,1
LEAD00608602,1
LEAD00608444,1
LEAD00608615,1
LEAD00608402,1
LEAD00608477,1
LEAD00608394,1
LEAD00608609,1
LEAD00608527,1
LEAD00608475,1
LEAD00608595,1
LEAD00609309,1
LEAD00608470,1
LEAD00608557,1
LEAD00608605,1
LEAD00609308,1
LEAD00608471,1
LEAD00609307,1
LEAD00607069,4
LEAD00608453,1
LEAD00608448,1
LEAD00609306,1
LEAD00608467,1
LEAD00608531,1
LEAD00608542,1
LEAD00609305,1
LEAD00608547,1
LEAD00609304,1
LEAD00605378,3
LEAD00608559,1
LEAD00609303,1
LEAD00608391,1
LEAD00608442,1
LEAD00608613,1
LEAD00609302,1
LEAD00608604,1
LEAD00608598,1
LEAD00608593,1
LEAD00609301,1
LEAD00608551,1
LEAD00608592,1
LEAD00608536,1
LEAD00608596,1
LEAD00608585,1
LEAD00608571,1
LEAD00608565,1
LEAD00608862,1
LEAD00608799,1
LEAD00608718,1
LEAD00608904,1
LEAD00608740,1
LEAD00608720,1
LEAD00609300,1
LEAD00609299,1
LEAD00609298,1
LEAD00608722,1
LEAD00608757,1
LEAD00608741,1
LEAD00608735,1
LEAD00608864,1
LEAD00609297,1
LEAD00608717,1
LEAD00609296,1
LEAD00608804,1
LEAD00608716,1
LEAD00608707,1
LEAD00609001,1
LEAD00608793,1
LEAD00608763,1
LEAD00609295,1
LEAD00608961,1
LEAD00609294,1
LEAD00608802,1
LEAD00608760,1
LEAD00608704,1
LEAD00609293,1
LEAD00609292,1
LEAD00608752,1
LEAD00608750,1
LEAD00609291,1
LEAD00607762,1
LEAD00608754,1
LEAD00609290,1
LEAD00609289,1
LEAD00609288,1
LEAD00609287,1
LEAD00609286,1
LEAD00609285,1
LEAD00609284,1
LEAD00609283,1
LEAD00607782,1
LEAD00609282,1
LEAD00609281,1
LEAD00609277,1
LEAD00609276,1
LEAD00609275,1
LEAD00609274,1
LEAD00609273,1
LEAD00609272,1
LEAD00609271,1
LEAD00609270,1
LEAD00609269,1
LEAD00609268,1
LEAD00609267,1
LEAD00609266,1
LEAD00609265,1
LEAD00607152,4
LEAD00609264,1
LEAD00609263,1
LEAD00609262,1
LEAD00609261,1
LEAD00609260,1
LEAD00609259,1
LEAD00609258,1
LEAD00609257,1
LEAD00609256,1
LEAD00609255,1
LEAD00609254,1
LEAD00609253,1
LEAD00609252,1
LEAD00609251,1
LEAD00609250,1
LEAD00609249,1
LEAD00609248,1
LEAD00609247,1
LEAD00609246,1
LEAD00609245,1
LEAD00609244,1
LEAD00609238,1
LEAD00609243,1
LEAD00609242,1
LEAD00609241,1
LEAD00609240,1
LEAD00609239,1
LEAD00609237,1
LEAD00609236,1
LEAD00609235,1
LEAD00609234,1
LEAD00609233,1
LEAD00609232,1
LEAD00609231,1
LEAD00609230,1
